,genre_names,weighted_vote,vote_count,average_rating
0,History,1431103.2999999996,195600,7.316479038854804
1,War,1024805.4999999998,141336,7.250845502915038
2,Animation,3643815.300000006,506612,7.192516758387101
3,Documentary,446405.30000000185,62283,7.167369908321723
4,Music,624432.2999999999,87434,7.141756067433721
5,Western,655407.2000000001,92667,7.072714126927602
6,Family,4588380.800000002,652585,7.031085299233053
7,Drama,14485381.899999928,2064637,7.01594609609337
8,Adventure,11288628.200000003,1645828,6.858935563132966
9,Romance,4249937.6000000015,621223,6.841243160668554
10,Science Fiction,8338121.600000006,1222644,6.819746058541985
11,Fantasy,6106473.599999999,902816,6.763807464643957
12,Crime,4265785.100000005,632691,6.7422882576170755
13,Action,12832945.599999959,1912290,6.710773784310935
14,Comedy,9413909.499999987,1403883,6.705622548317764
15,Mystery,2957638.900000004,442671,6.681347772951027
16,Thriller,8771460.899999984,1342877,6.531842380203089
17,TV Movie,207982.80000000054,33383,6.230201000509258
18,Horror,3051423.1000000103,502490,6.07260462894786
19,,29840.5,4992,5.977664262820513
